YEAR,STATE,WBR,Rindex
2000,IA,307,1
2000,IL,376,2
2000,IN,252,3
2000,MI,300,4
2000,MN,410,5
2000,WI,297,6
2005,IA,381,7
2005,IL,456,8
2005,IN,369,9
2005,MI,362,10
2005,MN,493,11
2005,WI,329,12
2010,IA,459,13
2010,IL,531,14
2010,IN,390,15
2010,MI,362,16
2010,MN,585,17
2010,WI,363,18
2015,IA,511,19
2015,IL,580,20
2015,IN,390,21
2015,MI,362,22
2015,MN,640,23
2015,WI,370,24
2020,IA,591,25
2020,IL,667,26
2020,IN,390,27
2020,MI,362,28
2020,MN,740,29
2020,WI,370,30
2023,IA,676,31
2023,IL,787,32
2023,IN,390,33
2023,MI,362,34
2023,MN,857,35
2023,WI,370,36
